model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 EcoSport,2018,Manual,1005,Diesel,145.70252174,54.2,2.0,20786
 Kuga,2017,Manual,53548,Petrol,145.72942225,64.5,1.5,10477
 Fiesta,2017,Manual,26612,Petrol,148.13248055,64.2,1.1,9104
 Fiesta,2016,Manual,6828,Petrol,0.0,65.9,1.0,10181
 EcoSport,2018,Manual,5864,Petrol,147.75616623,54.9,1.0,14490
 Fusion,2018,Manual,6916,Petrol,154.69767949,60.6,1.0,16463
 Kuga,2018,Automatic,18251,Petrol,149.38642329,38.4,1.5,14464
 Fiesta,2017,Manual,26185,Petrol,152.49716523,65.9,1.0,9835
 Fiesta,2018,Manual,19616,Petrol,147.07452934,40.3,1.5,15947
 Fiesta,2018,Manual,17641,Petrol,148.28199656,66.2,1.0,10997
 Fiesta,2016,Manual,7952,Petrol,134.22265946,54.3,1.2,8205
 Focus,2017,Manual,35809,Petrol,150.98089305,51.5,1.0,9779
 Focus,2018,Manual,39131,Diesel,147.04668006,68.8,2.0,15777
 Focus,2018,Manual,1622,Petrol,148.24306448,61.0,1.0,15996
 Focus,2014,Manual,55163,Petrol,237.18441243,39.5,2.0,11378
 Galaxy,2018,Automatic,37683,Diesel,153.22661368,53.4,2.0,19107
 Ka+,2017,Manual,8955,Petrol,149.34441635,58.4,1.2,7518
 Edge,2017,Semi-Auto,5734,Diesel,146.3407198,54.7,2.0,18544
 Focus,2016,Manual,31063,Diesel,0.0,74.3,1.5,9999
 Focus,2017,Manual,12709,Petrol,151.47217596,41.6,2.0,18744
 Focus,2019,Automatic,4419,Petrol,145.89473126,51.9,1.0,19201
 Fiesta,2017,Manual,14237,Petrol,0.0,66.5,1.0,7994
 Mondeo,2016,Manual,54672,Diesel,0.0,78.8,1.5,8313
 EcoSport,2018,Manual,7085,Petrol,149.99065785,54.7,1.0,12683
 Kuga,2015,Manual,44198,Diesel,127.39341229,60.8,2.0,11631
 B-MAX,2016,Manual,23105,Petrol,63.02354448,56.0,1.0,8999
 Focus,2019,Manual,3118,Petrol,149.76641184,60.3,1.0,17127
 Fiesta,2018,Manual,7568,Petrol,148.77341762,56.5,1.0,12571
 Fiesta,2017,Manual,11716,Petrol,22.25658312,60.6,1.0,8993
 Fiesta,2013,Manual,27407,Petrol,86.80867781,65.0,1.2,6129
 Fiesta,2019,Manual,8498,Petrol,146.39916604,56.5,1.0,13997
 Kuga,2019,Manual,7443,Diesel,146.20888434,37.8,2.0,19614
 Focus,2017,Manual,39415,Petrol,22.06699186,61.3,1.0,9080
 Grand C-MAX,2016,Manual,37722,Diesel,66.95580146,64.5,1.5,9856
 Fiesta,2018,Manual,39547,Petrol,145.64218265,60.9,1.0,10492
 EcoSport,2016,Manual,45877,Diesel,103.50322892,61.9,1.5,8440
 Focus,2019,Manual,11196,Petrol,146.09436683,59.1,1.0,15885
 Ka+,2018,Manual,16895,Petrol,149.60632262,48.3,1.2,8993
 S-MAX,2017,Semi-Auto,19159,Diesel,149.79116837,53.0,2.0,18424
 Mondeo,2013,Manual,70802,Petrol,235.85896383,35.9,1.6,1794
 Focus,2015,Automatic,45587,Diesel,0.0,68.4,1.6,7011
 Kuga,2015,Manual,47139,Diesel,201.47505097,47.9,2.0,10497
 Focus,2018,Manual,18029,Petrol,146.68737868,58.7,1.0,12974
 Focus,2019,Automatic,6417,Petrol,145.04509249,37.2,1.0,19200
 EcoSport,2013,Manual,63550,Petrol,237.71834895,45.1,1.5,7468
 Fiesta,2018,Manual,17710,Petrol,147.07092695,65.8,1.0,12222
 Fiesta,2019,Semi-Auto,3301,Petrol,154.09239256,48.8,1.0,12523
 Edge,2019,Semi-Auto,21976,Diesel,149.1637018,48.0,2.0,23799
 Focus,2016,Semi-Auto,34358,Petrol,0.0,58.5,1.0,9471
 EcoSport,2013,Manual,47330,Petrol,128.50605786,54.0,1.0,7626
 EcoSport,2018,Manual,23260,Petrol,150.47736576,51.4,1.0,11518
 Focus,2017,Manual,17575,Petrol,145.93131778,60.7,1.0,11500
 EcoSport,2018,Semi-Auto,9366,Petrol,149.34593405,45.9,1.0,14831
 Grand Tourneo Connect,2016,Automatic,23229,Petrol,495.50504359,38.4,1.5,14483
 S-MAX,2017,Semi-Auto,24375,Diesel,145.05477227,53.2,2.0,19033
 Focus,2018,Manual,6208,Petrol,150.45040754,60.7,1.0,11772
 Fiesta,2016,Manual,31184,Petrol,146.68174349,66.9,1.0,8865
 Fiesta,2015,Manual,62007,Petrol,147.7140595,66.3,1.0,6729
 Fiesta,2018,Manual,20992,Petrol,148.72620758,65.9,1.0,9993
 Focus,2019,Manual,8575,Petrol,146.25492557,60.4,1.0,15574
 Puma,2014,Manual,57750,Petrol,0.0,54.3,1.0,6311
 Focus,2017,Manual,18248,Petrol,149.13829664,60.5,1.0,12003
 Focus,2012,Manual,97304,Petrol,202.04725094,42.2,1.6,2348
 Kuga,2018,Manual,12263,Diesel,152.88274851,60.6,2.0,17748
 Kuga,2015,Manual,36232,Diesel,149.0929579,54.7,2.0,11958
 C-MAX,2019,Manual,4041,Diesel,148.2507653,69.6,1.5,18172
 C-MAX,2017,Manual,17653,Petrol,114.53248933,56.0,1.0,11498
 Focus,2019,Manual,14784,Petrol,151.85569735,61.1,1.0,14599
 Fiesta,2018,Automatic,17170,Petrol,153.30947543,54.5,1.0,13557
 B-MAX,2015,Manual,32016,Petrol,68.3829421,56.2,1.0,7841
 Focus,2018,Manual,4707,Petrol,149.19946353,59.7,1.0,14282
 Kuga,2018,Manual,40775,Diesel,152.195796,55.1,2.0,17433
 B-MAX,2017,Manual,11196,Petrol,146.81222593,58.7,1.0,9731
 Ka+,2019,Manual,1705,Petrol,146.25386706,48.9,1.2,11119
 Fiesta,2013,Manual,21539,Petrol,148.09808133,55.3,1.2,7142
 Galaxy,2018,Manual,22173,Diesel,148.79645986,56.5,2.0,18819
 Fiesta,2015,Manual,20318,Petrol,0.0,66.5,1.0,9530
 Focus,2019,Automatic,56318,Diesel,152.21093278,65.1,1.5,10277
 S-MAX,2017,Manual,17893,Diesel,126.69627676,56.5,2.0,17224
 Focus,2014,Manual,110573,Petrol,236.44962859,39.6,1.6,3739
 EcoSport,2018,Manual,17660,Petrol,151.66818998,54.6,1.0,13655
 Fiesta,2012,Manual,40523,Diesel,145.04599276,69.0,1.4,4519
 Fiesta,2016,Manual,42161,Petrol,0.0,65.9,1.0,7991
 Fiesta,2013,Manual,52413,Petrol,44.23946075,54.6,1.2,4652
 EcoSport,2017,Semi-Auto,6805,Petrol,130.02870645,44.5,1.0,12938
 Focus,2017,Manual,21709,Petrol,147.63473229,61.1,1.0,11526
 Fiesta,2016,Automatic,17631,Petrol,132.04773346,58.5,1.0,10276
 Fiesta,2017,Manual,9950,Petrol,148.72329839,55.1,1.2,9519
 Fiesta,2017,Manual,18518,Petrol,149.18208342,65.7,1.0,10615
 Fiesta,2016,Manual,1938,Petrol,126.00075546,55.3,1.2,7698
 Fiesta,2017,Manual,27198,Petrol,0.0,66.7,1.0,8321
 Fiesta,2018,Manual,27373,Petrol,146.6600887,65.9,1.0,10796
 Fiesta,2017,Manual,18224,Petrol,134.20540986,54.8,1.2,6911
 Focus,2012,Manual,43439,Petrol,20.08626736,58.9,1.0,6536
 Fiesta,2015,Manual,37073,Petrol,0.0,65.8,1.0,7653
 Focus,2014,Automatic,42989,Diesel,431.40073272,59.1,2.0,12966
 KA,2014,Manual,77588,Petrol,43.05892757,58.2,1.2,4963
 Fiesta,2013,Semi-Auto,31345,Petrol,153.03290557,47.2,1.6,7531
 Fiesta,2014,Manual,61729,Petrol,0.0,66.2,1.0,6579
 Fiesta,2018,Manual,4938,Petrol,147.33693264,66.9,1.0,9863
 Focus,2018,Manual,13550,Petrol,147.40077168,60.6,1.0,13491
 KA,2016,Manual,17302,Petrol,42.95671315,58.5,1.2,7264
 Fiesta,2017,Manual,12913,Petrol,131.17963118,54.9,1.2,7487
 Focus,2017,Manual,23544,Diesel,148.11064527,74.3,1.5,10694
 Ka+,2018,Manual,3401,Petrol,146.9665337,48.6,1.2,10781
 Fiesta,2017,Manual,17197,Petrol,0.0,66.1,1.0,10240
 Kuga,2019,Semi-Auto,1941,Diesel,145.7098986,42.2,2.0,23750
 Fiesta,2019,Manual,7712,Petrol,145.96875003,60.0,1.0,14664
 Fiesta,2015,Manual,42437,Petrol,145.50294041,66.1,1.0,8073
 Kuga,2017,Automatic,23252,Diesel,147.35120673,54.8,2.0,17445
 S-MAX,2017,Automatic,73793,Diesel,160.40912912,51.4,2.0,12928
 Fiesta,2018,Manual,9668,Petrol,148.61521018,66.4,1.0,10195
 Fiesta,2016,Manual,19203,Petrol,0.0,65.9,1.0,7468
 EcoSport,2017,Manual,34557,Diesel,55.96048338,64.8,1.5,9988
 Focus,2018,Manual,1609,Petrol,148.45282321,60.2,1.0,15412
 Kuga,2018,Manual,5866,Petrol,145.4320229,39.5,1.5,19245
 Fiesta,2019,Manual,5493,Diesel,147.13697422,55.9,1.5,16983
 EcoSport,2017,Manual,4637,Petrol,153.5793182,53.8,1.0,10690
 Fiesta,2017,Manual,32724,Petrol,149.98374269,63.3,1.0,10805
 Fiesta,2017,Manual,27283,Petrol,147.99122382,63.8,1.0,9698
 Mustang,2019,Manual,10207,Petrol,149.78473133,23.1,5.0,30353
 Focus,2018,Manual,30093,Petrol,148.72570961,59.1,1.0,10940
 Fiesta,2018,Manual,20527,Petrol,146.18155687,65.1,1.1,9349
 Fiesta,2014,Manual,17085,Petrol,0.0,67.1,1.0,8608
 Focus,2019,Manual,8874,Petrol,145.65182135,59.6,1.5,15314
 Ka+,2017,Manual,9609,Petrol,145.718092,58.2,1.2,8523
 Fiesta,2017,Manual,11262,Petrol,146.0268684,64.2,1.1,9503
 Mondeo,2015,Manual,53876,Diesel,147.7043491,78.5,1.5,7575
 Focus,2015,Manual,49486,Petrol,26.71643929,60.3,1.0,8189
 Focus,2018,Manual,17448,Petrol,147.48181657,58.5,1.0,14393
 Fiesta,2017,Manual,13256,Petrol,149.75161515,55.1,1.2,8575
 Fiesta,2018,Semi-Auto,29132,Petrol,145.79347165,54.4,1.0,11074
 Galaxy,2016,Manual,19892,Diesel,133.26982396,56.5,2.0,17999
 Fiesta,2019,Manual,10066,Petrol,148.35362847,49.0,1.0,13017
 Fiesta,2019,Semi-Auto,9963,Petrol,149.33840506,49.3,1.0,15215
 Focus,2017,Manual,15620,Diesel,146.32509805,74.3,1.5,11997
 Fiesta,2016,Manual,13329,Petrol,147.48891898,63.9,1.0,8995
 KA,2017,Manual,14186,Petrol,146.90030126,58.0,1.2,7445
 Kuga,2020,Semi-Auto,2821,Petrol,146.22563444,54.4,1.0,18042
 Kuga,2017,Manual,32585,Diesel,148.23837268,55.3,2.0,16936
 Fiesta,2017,Manual,17218,Petrol,147.03568108,66.1,1.0,9985
 Kuga,2018,Manual,15727,Diesel,148.34024426,64.5,1.5,13804
 EcoSport,2018,Semi-Auto,9582,Petrol,145.13873636,44.5,1.0,13455
 Galaxy,2016,Automatic,53906,Diesel,202.05668786,43.7,2.0,15769
 Kuga,2016,Manual,38987,Diesel,150.98376658,54.3,2.0,15840
 Focus,2017,Manual,17009,Petrol,147.48012618,41.9,2.0,17069
 Focus,2015,Manual,62589,Diesel,0.0,74.3,1.5,9214
 Fiesta,2017,Manual,30655,Petrol,147.90765275,55.0,1.2,8564
 S-MAX,2016,Manual,91940,Diesel,163.38360492,43.8,2.0,7963
 Fiesta,2018,Manual,28559,Petrol,149.27054858,65.9,1.0,10600
 Kuga,2016,Manual,13211,Diesel,53.07063848,64.4,1.5,11341
 Fiesta,2018,Manual,4478,Petrol,149.45073418,59.4,1.0,11995
 Fiesta,2019,Manual,10965,Petrol,152.59712194,60.6,1.0,17565
 Kuga,2019,Manual,567,Petrol,149.8539958,35.5,1.5,21116
 Focus,2017,Automatic,19554,Diesel,127.5949282,57.3,2.0,15893
 Focus,2017,Manual,40773,Diesel,149.6793318,74.3,1.5,9839
 Tourneo Custom,2017,Manual,32817,Diesel,145.80537312,65.2,2.0,12480
 Fiesta,2018,Manual,13217,Petrol,148.59434444,63.9,1.0,10330
 Fiesta,2018,Manual,13052,Petrol,146.20698746,61.2,1.0,13560
 Fiesta,2015,Manual,60257,Petrol,27.27840149,63.3,1.0,6958
 Fiesta,2016,Semi-Auto,9914,Petrol,154.34139375,55.2,1.6,7913
 Ka+,2018,Manual,12127,Petrol,147.53509143,58.4,1.2,7993
 Focus,2016,Automatic,15324,Petrol,204.04408335,45.1,1.6,15491
 Focus,2019,Manual,13407,Diesel,148.30791828,74.3,1.5,16957
 Fiesta,2018,Manual,5824,Petrol,150.56927008,60.0,1.1,13028
 Edge,2017,Automatic,12665,Diesel,154.65620281,48.5,2.0,24231
 Fiesta,2015,Manual,18566,Petrol,125.65014447,54.6,1.2,7995
 Grand Tourneo Connect,2013,Manual,19794,Diesel,201.14219058,43.4,2.0,10538
 Fiesta,2019,Manual,6309,Petrol,154.34886562,59.9,1.0,15575
 Fiesta,2018,Manual,8573,Petrol,146.70416703,61.0,1.0,14225
 Focus,2017,Automatic,34187,Petrol,29.3911374,61.6,1.0,10999
 Focus,2018,Manual,33702,Petrol,151.57455491,60.6,1.0,12262
 Fiesta,2018,Manual,23280,Petrol,145.00710128,59.8,1.0,12410
 Fiesta,2018,Manual,13841,Petrol,146.02418003,65.7,1.0,10459
 Mondeo,2009,Manual,68883,Diesel,202.5638975,46.2,2.0,5148
 Kuga,2017,Manual,13017,Diesel,147.67166936,54.5,2.0,17127
 Focus,2019,Manual,8294,Petrol,146.82952845,60.6,1.0,14995
 C-MAX,2015,Automatic,31882,Diesel,25.8332493,64.8,1.5,9251
 Kuga,2014,Manual,25378,Diesel,96.76012663,64.9,2.0,13778
 Fiesta,2017,Manual,17000,Petrol,0.0,65.9,1.0,9900
 EcoSport,2015,Manual,48784,Diesel,62.24599317,64.2,1.5,10497
 Focus,2018,Manual,22804,Petrol,150.49103113,58.8,1.0,11997
 Focus,2018,Manual,45623,Petrol,153.48989473,60.4,2.0,18951
 Fiesta,2018,Manual,16865,Petrol,145.38476337,66.0,1.0,10169
 Mondeo,2020,Manual,9,Diesel,146.46794987,67.2,2.0,20034
 B-MAX,2014,Manual,30623,Petrol,88.19088628,56.3,1.0,7303
 Fiesta,2018,Manual,17924,Petrol,149.05109523,66.7,1.0,10609
 Fiesta,2017,Manual,13443,Petrol,146.63650315,62.9,1.0,10996
 Fiesta,2018,Manual,7820,Petrol,147.93572454,40.3,1.5,17512
 Fiesta,2018,Manual,4939,Petrol,148.65983197,40.3,1.5,13494
 Focus,2017,Semi-Auto,18942,Petrol,148.66936874,52.1,1.5,11903
 Fiesta,2015,Manual,68891,Petrol,30.43287074,54.9,1.2,5677
 Focus,2017,Manual,29068,Petrol,147.51371151,41.6,2.0,17308
 Fiesta,2017,Manual,37529,Petrol,149.94215421,66.3,1.0,9693
 Kuga,2017,Manual,29496,Diesel,145.99052047,65.2,1.5,13903
 S-MAX,2016,Semi-Auto,26332,Diesel,149.74459048,53.2,2.0,16004
 Grand C-MAX,2015,Automatic,22846,Diesel,148.15142019,58.9,1.5,9383
 Focus,2011,Manual,70121,Petrol,0.0,47.9,1.6,5208
 Fiesta,2019,Manual,2,Petrol,149.09458758,59.1,1.0,15967
 Kuga,2016,Manual,31195,Diesel,128.43540583,61.2,2.0,13942
 Focus,2018,Manual,8912,Petrol,146.77243114,58.6,1.0,13490
 Kuga,2017,Manual,8830,Petrol,146.12118671,65.3,1.5,17221
 Focus,2019,Manual,6543,Diesel,138.03664906,74.3,1.5,15997
 Focus,2014,Manual,25268,Petrol,24.15260241,61.1,1.0,9825
 Fiesta,2017,Manual,25097,Petrol,0.0,66.6,1.0,8288
 Focus,2015,Manual,28796,Petrol,21.7458176,61.7,1.0,8493
 Focus,2017,Manual,12973,Diesel,0.0,74.3,1.5,10405
 C-MAX,2016,Manual,15507,Petrol,24.95224018,56.1,1.0,10720
 EcoSport,2018,Manual,12489,Petrol,149.89129717,55.2,1.0,14339
 EcoSport,2017,Manual,12344,Petrol,129.4105558,53.1,1.0,10909
 Fiesta,2018,Manual,18884,Petrol,146.94540684,67.1,1.0,10590
 Kuga,2018,Semi-Auto,33392,Diesel,145.15264482,54.7,2.0,17100
 Fiesta,2018,Manual,22674,Petrol,153.1990183,65.1,1.1,8186
 Fiesta,2017,Manual,7328,Petrol,23.44245092,63.3,1.0,9263
 Fiesta,2016,Manual,8624,Petrol,0.0,65.9,1.0,8747
 Fiesta,2015,Manual,50463,Diesel,0.0,76.7,1.5,7302
 Fiesta,2017,Manual,11898,Petrol,145.85373014,48.3,1.6,10000
 Focus,2018,Semi-Auto,15426,Diesel,149.49268582,52.0,2.0,25124
 Fiesta,2009,Manual,90410,Petrol,111.05403315,56.2,1.0,2965
 Kuga,2013,Manual,71284,Diesel,75.22585079,64.2,2.0,10498
 Focus,2015,Manual,60910,Diesel,126.56021864,60.7,2.0,9984
 Kuga,2017,Manual,37184,Diesel,125.52867761,60.7,2.0,13105
 Focus,2014,Automatic,16825,Petrol,148.93819039,47.0,1.6,9534
 Fiesta,2018,Manual,12651,Petrol,146.7017451,58.0,1.0,11926
 B-MAX,2016,Semi-Auto,25111,Petrol,167.26204135,44.4,1.6,8992
 Fiesta,2018,Manual,13478,Petrol,146.82339321,64.2,1.1,9626
 EcoSport,2017,Manual,16224,Petrol,152.79519179,52.3,1.0,10007
 Kuga,2015,Manual,24114,Diesel,152.41115367,54.3,2.0,15982
 Fiesta,2019,Manual,11715,Petrol,146.45328508,58.9,1.0,14096
 EcoSport,2014,Manual,45563,Petrol,238.0807028,45.9,1.5,14253
 Fiesta,2017,Manual,26249,Petrol,148.00799059,65.6,1.1,9997
 Focus,2016,Manual,45476,Petrol,24.81463977,61.2,1.0,9544
 Fiesta,2017,Manual,11163,Petrol,149.21515757,55.2,1.2,7394
 Focus,2019,Automatic,12984,Diesel,149.83000936,64.8,2.0,15315
 Kuga,2019,Manual,6626,Petrol,149.58693869,39.7,1.5,20026
 C-MAX,2016,Automatic,19729,Petrol,203.93375722,44.6,1.6,10424
 Fiesta,2017,Manual,5695,Petrol,146.10276336,64.1,1.0,11078
 EcoSport,2019,Manual,6225,Petrol,147.87347563,49.0,1.0,14805
 Tourneo Custom,2014,Manual,30774,Diesel,163.7993732,44.2,2.0,9906
 Kuga,2014,Manual,20701,Petrol,147.87575754,54.7,2.0,7991
 Kuga,2019,Manual,6219,Diesel,150.43302744,38.5,1.5,17577
 Fiesta,2019,Manual,13439,Petrol,147.29730771,58.9,1.0,15351
 Ka+,2018,Manual,3079,Petrol,147.27834501,43.8,1.2,11421
 C-MAX,2008,Manual,102400,Diesel,63.12008736,62.4,1.5,2331
 Focus,2017,Manual,23758,Petrol,145.70290781,41.7,2.0,17997
 Kuga,2019,Manual,11658,Diesel,145.72126196,61.3,2.0,19040
 Focus,2005,Manual,37536,Diesel,23.47279468,67.5,1.6,5790
 Fiesta,2016,Manual,13403,Petrol,127.89563224,55.3,1.2,8265
 Fiesta,2018,Manual,20757,Petrol,147.229768,40.3,1.5,10971
 Focus,2018,Manual,20341,Diesel,147.99142033,67.8,2.0,17662
 Fiesta,2018,Manual,4949,Petrol,147.07733481,65.8,1.0,10549
 Fiesta,2016,Manual,25820,Petrol,0.0,66.0,1.0,8660
 Fiesta,2016,Manual,9331,Petrol,126.42468926,54.7,1.2,8502
 Focus,2017,Manual,30009,Diesel,0.0,74.3,1.5,10237
 Fiesta,2016,Manual,29709,Petrol,0.0,67.1,1.0,7996
 Kuga,2018,Semi-Auto,15986,Diesel,146.90597534,54.4,2.0,19594
 C-MAX,2017,Manual,29334,Diesel,24.23348095,70.2,1.5,9252
 Fiesta,2018,Manual,13895,Petrol,145.39870023,65.9,1.0,11500
 EcoSport,2017,Manual,15784,Petrol,152.6586367,53.4,1.0,10230
 Focus,2019,Automatic,5177,Petrol,154.84062264,46.7,1.5,23101
 Focus,2015,Manual,30743,Petrol,0.0,58.4,1.0,7562
 Focus,2017,Manual,10721,Petrol,153.54645361,61.8,1.0,11493
 Kuga,2016,Manual,74331,Diesel,130.07629259,61.1,2.0,9450
 Fiesta,2018,Manual,11893,Petrol,148.21038509,66.1,1.0,11500
 Fiesta,2017,Manual,14347,Petrol,153.63125224,66.7,1.0,11160
 Focus,2019,Automatic,15215,Diesel,149.34755671,65.1,2.0,20256
 Fiesta,2016,Manual,10804,Petrol,0.0,66.7,1.0,8795
 Focus,2018,Manual,30287,Diesel,146.75587165,74.3,1.5,12269
 S-MAX,2018,Manual,2574,Diesel,151.07732294,33.8,2.0,20240
 EcoSport,2018,Manual,10468,Petrol,151.25940314,52.9,1.0,14509
 Fiesta,2018,Manual,25741,Petrol,149.31894252,66.6,1.0,10229
 EcoSport,2017,Manual,19198,Diesel,145.36033529,69.2,1.5,9518
 Focus,2017,Manual,35817,Petrol,147.79000796,51.7,1.0,9134
 Focus,2017,Manual,38574,Diesel,118.1509596,62.1,2.0,14315
 Focus,2018,Manual,14005,Petrol,145.68637039,56.2,1.0,14238
 Focus,2019,Manual,3902,Petrol,149.5144951,34.6,2.3,42196
 Fiesta,2017,Manual,11390,Petrol,148.30210635,65.8,1.0,9209
 Focus,2009,Manual,27683,Diesel,0.0,82.0,1.5,5560
 Fiesta,2009,Manual,70484,Petrol,0.0,65.7,1.0,6310
 Fiesta,2019,Semi-Auto,10098,Petrol,147.80221357,49.4,1.0,18007
 Edge,2016,Semi-Auto,21165,Diesel,145.5042939,48.3,2.0,24015
 S-MAX,2011,Automatic,21720,Diesel,160.25363024,45.3,2.0,7067
 Focus,2016,Manual,26999,Diesel,27.58835885,68.0,2.0,15267
 Kuga,2018,Manual,7788,Petrol,146.39596163,65.5,1.1,8426
 Focus,2017,Manual,29980,Diesel,146.37414652,68.4,2.0,15583
 Ka+,2018,Manual,19865,Petrol,147.29696967,48.5,1.2,8995
 Focus,2018,Manual,4209,Petrol,149.33677155,60.5,1.0,16701
 Fiesta,2016,Automatic,12534,Petrol,0.0,58.0,1.0,9025
 Focus,2016,Manual,20702,Diesel,134.48290184,61.2,2.0,14543
 Mondeo,2017,Manual,6226,Diesel,151.40164422,74.3,1.5,13999
 Kuga,2018,Manual,9123,Diesel,154.0121498,48.5,2.0,20763
 EcoSport,2017,Automatic,7553,Petrol,161.07288336,45.5,1.5,12934
 Galaxy,2017,Manual,14796,Diesel,130.26607362,56.5,2.0,18934
 Fiesta,2018,Manual,21153,Petrol,145.40170283,67.0,1.0,10497
 Fiesta,2017,Manual,37277,Petrol,125.94667975,55.3,1.2,8535
 EcoSport,2018,Manual,20219,Petrol,153.90169488,55.2,1.0,12479
 Focus,2019,Manual,14710,Petrol,145.41743718,50.4,1.0,14950
 Fiesta,2017,Manual,22295,Petrol,146.51349054,65.9,1.0,9268
 Fiesta,2015,Manual,9918,Petrol,28.43475066,63.0,1.0,9735
 Focus,2017,Manual,16483,Petrol,145.28724699,41.9,2.0,18678
 Fiesta,2015,Manual,24693,Petrol,147.40835517,66.9,1.0,9186
 Fiesta,2019,Semi-Auto,3643,Petrol,146.58963838,48.9,1.0,16978
 Edge,2018,Manual,17164,Diesel,149.50039243,48.2,2.0,23525
 Ka+,2017,Manual,1839,Petrol,100.69258739,58.8,1.2,6973
 Kuga,2018,Manual,9077,Petrol,149.12721628,38.2,1.5,15549
 Focus,2017,Automatic,50751,Petrol,149.1902436,48.0,1.6,6812
 C-MAX,2017,Manual,18799,Diesel,24.07633835,70.2,1.5,10434
 Focus,2017,Manual,18711,Petrol,147.13924022,51.8,1.0,16601
 EcoSport,2017,Semi-Auto,36610,Petrol,129.0070969,52.5,1.0,10635
 Focus,2019,Manual,11110,Petrol,148.59246535,60.2,1.0,14995
 Kuga,2018,Manual,7845,Petrol,145.75123626,43.3,1.5,17880
 Kuga,2017,Manual,24678,Diesel,149.13005479,55.0,2.0,12810
 Fiesta,2018,Manual,29021,Petrol,145.75826926,65.9,1.0,10438
 S-MAX,2019,Manual,15668,Diesel,149.59693624,55.7,2.0,25146
 Fiesta,2018,Manual,11981,Petrol,146.60379907,66.9,1.0,11533
 Mondeo,2014,Automatic,13265,Petrol,253.15262125,38.6,1.6,4934
 C-MAX,2014,Manual,32948,Diesel,26.12911168,69.0,1.5,8595
 Fiesta,2019,Manual,2846,Petrol,149.04242761,56.3,1.0,12939
 Focus,2017,Manual,26289,Petrol,152.05690004,60.2,1.0,11500
 Focus,2019,Automatic,18512,Diesel,145.71528337,65.4,1.5,19993
 Fiesta,2019,Manual,5069,Petrol,148.99533764,60.3,1.0,14161
 Fiesta,2017,Manual,15625,Petrol,145.29811437,65.9,1.0,10340
 Grand C-MAX,2017,Manual,6905,Diesel,36.46480401,64.3,1.5,11052
 Focus,2016,Manual,13627,Petrol,147.20385596,58.3,1.0,12572
 Focus,2017,Manual,25045,Petrol,151.93399937,61.7,2.0,16673
 Grand C-MAX,2015,Manual,60877,Diesel,30.5811926,65.0,1.5,9970
 Fiesta,2018,Manual,6979,Petrol,147.87052563,65.6,1.1,10794
 Fiesta,2016,Automatic,17074,Petrol,133.10403271,55.0,1.2,7273
 Fiesta,2017,Manual,19512,Petrol,148.05664457,67.2,1.0,10897
 Fiesta,2016,Automatic,6723,Petrol,148.77038683,49.0,1.0,12189
 Fiesta,2018,Manual,16029,Petrol,147.52609716,67.0,1.0,10532
 Focus,2018,Manual,32123,Petrol,146.87173488,55.0,1.0,12880
